text_id,text_length,entity,label,confidence,start,end
EL043_L_1967_03_028_03_1_PF_05,2427,Paul Antier,PER,0.98235863,99,110
EL043_L_1967_03_028_03_1_PF_05,2427,Antoine de LAYRE,PER,0.86638623,157,173
EL043_L_1967_03_028_03_1_PF_05,2427,Antoine de LAYRE,PER,0.86842537,2352,2368
EL043_L_1967_03_028_03_1_PF_05,2427,Luisant,LOC,0.70305324,2404,2411
EL009_L_1958_11_028_03_2_PF_02,3257,François A. de MONTFORT,PER,0.8047714,166,189
EL009_L_1958_11_028_03_2_PF_02,3257,Ravensbrück,LOC,0.9091263,559,570
EL009_L_1958_11_028_03_2_PF_02,3257,Charles de GAULLE,PER,0.95995605,840,857
EL009_L_1958_11_028_03_2_PF_02,3257,Bonneval,LOC,0.8568747,927,935
EL009_L_1958_11_028_03_2_PF_02,3257,Illiers,LOC,0.9163698,937,944
EL009_L_1958_11_028_03_2_PF_02,3257,Châteaudun,LOC,0.9182324,947,957
EL009_L_1958_11_028_03_2_PF_02,3257,Brou,LOC,0.875824,959,963
EL009_L_1958_11_028_03_2_PF_02,3257,Cloyes,LOC,0.9345669,965,971
EL009_L_1958_11_028_03_2_PF_02,3257,Authon,LOC,0.9116843,973,979
EL009_L_1958_11_028_03_2_PF_02,3257,Nogent le Rotrou,LOC,0.9633028,981,997
EL009_L_1958_11_028_03_2_PF_02,3257,Thiron,LOC,0.8277435,1000,1006
EL009_L_1958_11_028_03_2_PF_02,3257,La Loupe,LOC,0.9085297,1008,1016
EL009_L_1958_11_028_03_2_PF_02,3257,Dunois,LOC,0.8644455,1023,1029
EL009_L_1958_11_028_03_2_PF_02,3257,Perche,LOC,0.7694365,1036,1042
EL009_L_1958_11_028_03_2_PF_02,3257,Général DE GAULLE,PER,0.87784684,1113,1130
EL009_L_1958_11_028_03_2_PF_02,3257,Guy CHESNEAU,PER,0.800865,1460,1472
EL009_L_1958_11_028_03_2_PF_02,3257,pour la Nouvelle République,ORG,0.6844417,1488,1515
EL009_L_1958_11_028_03_2_PF_02,3257,A. de MONTF,PER,0.6914021,2943,2954
EL009_L_1958_11_028_03_2_PF_02,3257,Union pour la Nouvelle République,ORG,0.82136905,3018,3051
EL009_L_1958_11_028_03_2_PF_02,3257,Guy CHESNEAU,PER,0.87494916,3136,3148
EL009_L_1958_11_028_03_1_PF_06,6629,23,ORG,0.87338454,28,30
EL009_L_1958_11_028_03_1_PF_06,6629,UNION POUR LA NOUVELLE RÉPUBLIQUE,ORG,0.8053085,46,79
EL009_L_1958_11_028_03_1_PF_06,6629,Eure et Loir,LOC,0.905842,136,148
